neutropenia,transaminitis,splenomegaly,night sweat,apyrexial,lesion,snuffle,chill,cough,monoclonal,hypocalcemia result,oliguria,rhd positive,distress respiratory,,,,,,,,,,,,,,,
hepatitis B,inappropriate affect,tachypnea,yellow sputum,projectile vomiting,poor feeding,pain abdominal,abdominal tenderness,wheelchair bound,moan,,,,,,,,,,,,,,,,,,,
hepatitis C,ascites,distended abdomen,feeling suicidal,cough,ache,macerated skin,heavy feeling,hallucinations auditory,chill,asterixis,patient non compliance,,,,,,,,,,,,,,,,,
coronary heart disease,pain chest,angina pectoris,shortness of breath,hypokinesia,sweat,sweating increased,pressure chest,dyspnea on exertion,orthopnea,chest tightness,,,,,,,,,,,,,,,,,,
carcinoma of lung,lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood,,,,,,,,,,,,,
arthritis,pain,hemodynamically stable,sleeplessness,asthenia,syncope,swelling,atypia,general unsteadiness,shortness of breath,distended abdomen,,,,,,,,,,,,,,,,,,
malignant neoplasm of lung,lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood,,,,,,,,,,,,,
carcinoma,mass of body structure,pain,lesion,tumor cell invasion,thicken,decreased body weight,hoarseness,general discomfort,metastatic lesion,non-productive cough,constipation,unhappy,paresthesia,gravida 0,diarrhea,sore to touch,heartburn,nausea,lung nodule,,,,,,,,,
delirium,unsteady gait,withdraw,hyponatremia,verbally abusive behavior,feeling suicidal,unresponsiveness,worry,drowsiness,sleepy,hallucinations auditory,suicidal,fever,diarrhea,,,,,,,,,,,,,,,
melanoma,mass of body structure,paraparesis,fever,gravida 0,pain,pruritus,mass in breast,vomiting,diarrhea,,,,,,,,,,,,,,,,,,,
kidney failure acute,hyperkalemia,hypotension,hypocalcemia result,oliguria,hemodynamically stable,asthenia,"hypothermia, natural",diarrhea,haemorrhage,unresponsiveness,,,,,,,,,,,,,,,,,,
diabetes,polyuria,polydypsia,shortness of breath,pain chest,asthenia,nausea,orthopnea,rale,sweat,sweating increased,unresponsiveness,mental status changes,vertigo,vomiting,labored breathing,,,,,,,,,,,,,
systemic infection,fever,distress respiratory,hypotension,tachypnea,chill,lethargy,bradycardia,breech presentation,cyanosis,spontaneous rupture of membranes,haemorrhage,unresponsiveness,rale,apyrexial,,,,,,,,,,,,,,
malignant neoplasms,pain,mass of body structure,lesion,cushingoid facies,cushingoid habitus,emphysematous change,decreased body weight,ascites,hoarseness,thicken,hematuria,pulsus paradoxus,gravida 10,mass of body structure,lesion,heartburn,night sweat,thicken,chill,decreased translucency,pain abdominal,dullness,food intolerance,distress respiratory,hypotension,,,
neuropathy,asthenia,numbness,nausea and vomiting,awakening early,hydropneumothorax,superimposition,fatigability,tenesmus,pain,slowing of urinary stream,,,,,,,,,,,,,,,,,,
overload fluid,rale,jugular venous distention,hyperkalemia,orthopnea,shortness of breath,drowsiness,sleepy,weight gain,hypokalemia,hypotension,swelling,distended abdomen,,,,,,,,,,,,,,,,
migraine disorders,ambidexterity,vomiting,dizziness,numbness,nausea,fever,splenomegaly,,,,,,,,,,,,,,,,,,,,,
